year,source,target,value
2013,Terengganu,40-44,151
2013,Terengganu,45-49,103
2013,Terengganu,50-54,49
2013,Terengganu,55-59,15
2013,Terengganu,other,2
2014,Johor,17-24,4944
2014,Johor,25-29,2161
2014,Johor,30-34,1814
2014,Johor,35-39,1448
2014,Johor,40-44,1117
2014,Johor,45-49,681
2014,Johor,50-54,432
2014,Johor,55-59,202
2014,Johor,60-64,28
2014,Johor,other,38
2014,Kedah,17-24,11804
2014,Kedah,25-29,2318
2014,Kedah,30-34,1752
2014,Kedah,35-39,1255
2014,Kedah,40-44,990
2014,Kedah,45-49,660
2014,Kedah,50-54,442
2014,Kedah,55-59,172
2014,Kedah,60-64,14
2014,Kedah,other,16
2014,Kelantan,17-24,2991
2014,Kelantan,25-29,588
2014,Kelantan,30-34,420
2014,Kelantan,35-39,309
2014,Kelantan,40-44,277
2014,Kelantan,45-49,168
2014,Kelantan,50-54,113
2014,Kelantan,55-59,36
2014,Kelantan,60-64,8
